,GEOID,FHVDIFF,NYPDviolationDIFF,NYPDmisdemeanorDIFF,NYPDfelonyDIFF,units,C1DIFF,C2DIFF,Pop_Den_16DIFF,Median_Household_Income_16DIFF,Gini_Index_16DIFF,Ave_Commute_Min_16DIFF,Unemployed_rate_16DIFF,Moved_in_4years_16DIFF,licenseDiff
166,36047021200,2.196996811,0.272727273,0.096153846,-0.2,,0.159050752,0.289412142,-0.007341565,0.077497877,0.00979722,-0.120759052,0.013136435,,3.5
167,36047021300,2.095367818,0.035087719,-0.122171946,-0.251908397,,0.254594995,0.225039465,-0.006750393,0.057212903,-0.035265989,0.009238429,-0.076598307,,-0.4
168,36047021400,2.980739699,-0.125,1.4,1.4375,,0.139624768,0.25434752,-0.022568699,0.022560887,0.071895425,-0.015761013,0.386959499,0.167078886,
169,36047021500,1.123856449,-0.125,-0.069767442,0.053571429,,0.246921719,0.188193982,0.005841165,0.049819354,0.026772642,-0.0207557,0.418413194,-0.789939641,0
170,36047021600,2.980978389,-0.4,-0.205128205,-0.185185185,,0.089221851,0.234889585,0.028039481,0.055966594,0.070601336,0.067184449,0.495284961,-0.65292736,0
171,36047021700,1.741091606,-0.028571429,0.076335878,-0.085106383,,0.270735189,0.138524942,0.000512315,0.067661874,0.022039758,-0.026871268,-0.533049371,0.034125229,-0.166666667
172,36047021800,2.98097839,0.571428571,-0.382978723,-0.35483871,,0.11367476,0.235299503,-0.001822739,-0.140729543,0.141178737,0.027236652,0.631383352,,
173,36047021900,1.739746186,-0.275862069,-0.051546392,0.092592593,,0.272549126,0.237887819,0.006082354,0.079719502,-0.005657389,-0.046985368,-0.138665769,,2
174,36047022000,2.980978389,0,0.169230769,0.02173913,,0.06197606,0.296229086,0.052167802,0.008424873,0.002240645,-0.005495604,0.224473101,,0
175,36047022100,1.739737727,-0.04,0.175438596,0.296875,36,0.272514503,0.207611418,-0.05663932,0.158077544,0.106143079,-0.04033629,-0.02574484,,-0.428571429
176,36047022200,2.980977648,-0.4,0.018181818,-0.085714286,,0.120457359,0.261667156,-0.076038959,-0.147119166,-0.040017885,-0.066521857,-0.288802634,0.209383992,0.666666667
177,36047022400,2.980864374,-0.4,-0.41509434,-0.513513514,,0.127459617,0.224035687,-0.014378843,0.068900754,0.068437425,-0.111762965,0.273416888,,0.25
178,36047022600,2.980855229,1,-0.090909091,-0.29787234,,0.139614913,0.251268655,-0.061935937,-0.086432286,0.043944266,0.122071369,1.029346884,1.40407673,-0.333333333
179,36047022700,1.266566097,-0.294117647,-0.044642857,-0.037313433,100,0.284918535,0.15667459,0.066308833,0.363529037,0.030248034,0.001391018,-0.082315911,0.434806228,-0.357142857
180,36047022800,2.980744817,-0.3125,-0.3,-0.157894737,,0.166061996,0.269498638,-0.016038035,0.031119594,-0.010103093,0.046384011,-0.276642152,0.233954855,-0.875
181,36047022900,1.266534558,0.142857143,-0.24,-0.188679245,,0.212671356,0.204250203,-0.0161375,0.173879369,-0.026429809,0.001421776,-0.238933487,-0.115882675,1
182,36047023000,2.980978389,0,-0.029411765,-0.24137931,,0.17296656,0.242487549,0.080636805,0.1789274,0.011782032,-0.006211736,-0.311104563,0.031254525,0
183,36047023100,1.266520712,-0.529411765,0.440677966,0.5,,0.29526491,0.235392337,0.008271614,-0.079647971,0.100506146,-0.042924038,-0.180910236,,0
184,36047023200,2.980978388,0.125,0.482758621,0.388888889,,0.204095938,0.248268444,-0.025551832,-0.005118192,0.002066116,-0.087651306,-0.066621534,0.671371743,-0.625
185,36047023300,1.683086691,0.224489796,0.168539326,0.043103448,,0.231452146,0.170190128,0.015628192,0.011918771,-0.009236569,-0.0441602,-0.223877934,-0.250329795,1.666666667
186,36047023400,2.980978389,-0.5,-0.189189189,0.230769231,,0.163998664,0.265060389,-0.039713305,0.042717591,-0.02560698,-0.117857143,0.209296029,-0.08165921,
